# dimensionless total lensed [l(l+1)/2pi] C_l's
# for l=2 to 2500, i.e. number of multipoles equal to 2499
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:EB                     7:TB                     8:phiphi                 9:TPhi                  10:Ephi               
   31       1.420576720455e-10       3.163713978195e-15       2.494165082129e-13       3.866635477786e-17      -1.741518709923e-17      -2.565662614368e-15       1.371350762749e-10       1.408916778813e-11      -5.886323429120e-15 
   32       1.443685975980e-10       3.531814010619e-15       2.516798999214e-13       4.120048633382e-17      -1.956604208558e-17      -2.695795426921e-15       1.289880062819e-10       1.330207229822e-11      -6.144282152716e-15 
   33       1.467093398813e-10       3.928489758182e-15       2.530182809134e-13       4.381734006752e-17      -2.189635983783e-17      -2.825020632779e-15       1.215159058019e-10       1.257521870065e-11      -7.121480392327e-15 
   34       1.490708472085e-10       4.354366091170e-15       2.533672859577e-13       4.651710467422e-17      -2.441447059745e-17      -2.952797966513e-15       1.146147756198e-10       1.191070243893e-11      -8.282771854465e-15 
   35       1.514533657778e-10       4.810301846228e-15       2.526020083937e-13       4.929996665106e-17      -2.712932697205e-17      -3.078791220370e-15       1.082495211238e-10       1.130445305371e-11      -9.307211648437e-15 
   36       1.538541937046e-10       5.297196564310e-15       2.505638262410e-13       5.216610991110e-17      -3.005021965851e-17      -3.202750594351e-15       1.023692350576e-10       1.074624535527e-11      -9.892701771980e-15 
   37       1.562673172522e-10       5.815910088581e-15       2.471007696991e-13       5.511571649899e-17      -3.318651037771e-17      -3.324433331169e-15       9.689757957195e-11       1.022341040622e-11      -9.776430482936e-15 
   38       1.586998401704e-10       6.367253742952e-15       2.421713452571e-13       5.814896963338e-17      -3.654709881737e-17      -3.443487653167e-15       9.182054012562e-11       9.734166397093e-12      -9.075885046803e-15 
   39       1.611599445945e-10       6.951990756212e-15       2.357749597373e-13       6.126605166148e-17      -4.014077169938e-17      -3.559533783890e-15       8.712213013284e-11       9.278119643331e-12      -8.063255508370e-15 
   40       1.636518918305e-10       7.570834399830e-15       2.279252239925e-13       6.446714327163e-17      -4.397633370883e-17      -3.672196233098e-15       8.275769547695e-11       8.852411123725e-12      -7.079953728664e-15 
   41       1.661764934832e-10       8.224443553924e-15       2.186421091902e-13       6.775241987340e-17      -4.806244650416e-17      -3.781053072465e-15       7.866950002173e-11       8.452918949495e-12      -6.453450726787e-15 
   42       1.687338406524e-10       8.913415638993e-15       2.079232771334e-13       7.112203927340e-17      -5.240710515815e-17      -3.885461686634e-15       7.484559761658e-11       8.078870884114e-12      -6.204356269732e-15 
   43       1.713206710414e-10       9.638285802977e-15       1.957648646556e-13       7.457615002028e-17      -5.701797556857e-17      -3.984677850283e-15       7.127591445375e-11       7.729359235296e-12      -6.251596680942e-15 
   44       1.739291053899e-10       1.039952451088e-14       1.821696388606e-13       7.811489447142e-17      -6.190251200190e-17      -4.077899898125e-15       6.793458096112e-11       7.401923649497e-12      -6.490392612663e-15 
   45       1.765502306054e-10       1.119757608316e-14       1.671357474810e-13       8.173840724647e-17      -6.706805596672e-17      -4.164357118496e-15       6.478918992342e-11       7.093429062522e-12      -6.811376557406e-15 
   46       1.791870836164e-10       1.203299604288e-14       1.506183528840e-13       8.544681058537e-17      -7.252221480160e-17      -4.243612597921e-15       6.183483568061e-11       6.803305605862e-12      -7.168328464911e-15 
   47       1.818448583342e-10       1.290634906031e-14       1.325569659510e-13       8.924021720658e-17      -7.827256254633e-17      -4.315346475062e-15       5.906811156135e-11       6.531065759768e-12      -7.528115153558e-15 
   48       1.845270815724e-10       1.381816963571e-14       1.128855625193e-13       9.311873119980e-17      -8.432651841697e-17      -4.379275359585e-15       5.647684197919e-11       6.275321222260e-12      -7.851499626337e-15 
   49       1.872354366618e-10       1.476896112233e-14       9.153217805625e-14       9.708244771756e-17      -9.069133381646e-17      -4.435154962954e-15       5.403943015579e-11       6.033716271217e-12      -8.092815328483e-15 
   50       1.899704135806e-10       1.575912797845e-14       6.842986071787e-14       1.011314488566e-16      -9.737372899760e-17      -4.482715488022e-15       5.173136993367e-11       5.803635436387e-12      -8.215676924770e-15 
   51       1.927338766030e-10       1.678875311102e-14       4.355397585854e-14       1.052657906998e-16      -1.043787169196e-16      -4.521441019057e-15       4.954837827667e-11       5.584707570444e-12      -8.245895802393e-15 
   52       1.955268887173e-10       1.785775840558e-14       1.689432677854e-14       1.094855122235e-16      -1.117104376880e-16      -4.550734797105e-15       4.748841432487e-11       5.376866291989e-12      -8.232364817543e-15 
   53       1.983488117954e-10       1.896596219337e-14      -1.155519252826e-14       1.137906383247e-16      -1.193724522218e-16      -4.569980706601e-15       4.554475643257e-11       5.179605598717e-12      -8.232695881713e-15 
   54       2.011971691026e-10       2.011307513214e-14      -4.179646818791e-14       1.181811793326e-16      -1.273677127782e-16      -4.578542741860e-15       4.370568702508e-11       4.991949667612e-12      -8.313648879088e-15 
   55       2.040689968934e-10       2.129880421418e-14      -7.382950110113e-14       1.226571391500e-16      -1.356995258943e-16      -4.575800656133e-15       4.195807179736e-11       4.812795575930e-12      -8.532587811679e-15 
   56       2.069656073682e-10       2.252320448405e-14      -1.076603860348e-13       1.272185431617e-16      -1.443747888734e-16      -4.561268501629e-15       4.029986049544e-11       4.642110349796e-12      -8.875472048042e-15 
   57       2.098887681120e-10       2.378640747995e-14      -1.432950884275e-13       1.318654164047e-16      -1.534015056811e-16      -4.534504602900e-15       3.873013959953e-11       4.479978390857e-12      -9.304212052016e-15 
   58       2.128392389302e-10       2.508852085322e-14      -1.807371217446e-13       1.365977753987e-16      -1.627878739588e-16      -4.495078811463e-15       3.724535020530e-11       4.326239280121e-12      -9.773988995402e-15 
   59       2.158166923747e-10       2.642962846183e-14      -2.199875142848e-13       1.414156279946e-16      -1.725422942129e-16      -4.442573382000e-15       3.583912460834e-11       4.180472107534e-12      -1.023294447643e-14 
   60       2.188196342694e-10       2.780979046399e-14      -2.610447759881e-13       1.463189732228e-16      -1.826733790040e-16      -4.376583848565e-15       3.450212288869e-11       4.041979801568e-12      -1.062187023822e-14 
   61       2.218463987698e-10       2.922893281120e-14      -3.039045425643e-13       1.513078159660e-16      -1.931889581824e-16      -4.296698545069e-15       3.322462849288e-11       3.909992626672e-12      -1.088783971052e-14 
