sim_num,gMpl,gMpl_std,aplusb_b95,aplusb_b95_std,aplusb_k95,aplusb_k95_std,aplusb_150,aplusb_150_std,aplusb_220,aplusb_220_std,aplusb_b95ext,aplusb_b95ext_std,chisq
464,-0.614,0.653,0.072,0.184,0.001,0.254,0.029,0.187,0.126,0.272,0.14,0.183,100.737
465,-0.431,0.651,0.128,0.186,-0.096,0.247,0.239,0.194,-0.159,0.258,0.121,0.188,74.124
466,-0.441,0.629,-0.001,0.18,-0.125,0.247,0.128,0.182,-0.264,0.252,0.026,0.177,62.458
467,2.077,0.642,-0.687,0.187,-0.769,0.248,-0.761,0.187,-0.97,0.253,-0.659,0.179,70.14
468,0.744,0.714,-0.229,0.203,-0.022,0.258,-0.136,0.208,-0.357,0.279,-0.264,0.206,57.095
469,-0.3,0.677,-0.025,0.191,-0.346,0.25,-0.326,0.198,-0.16,0.253,0.051,0.192,79.974
470,0.514,0.68,0.016,0.193,0.114,0.252,-0.084,0.205,-0.027,0.255,-0.036,0.191,50.054
471,1.402,0.68,-0.341,0.195,-0.863,0.251,-0.365,0.195,-0.597,0.255,-0.313,0.191,96.423
472,-0.332,0.708,-0.013,0.201,0.214,0.278,-0.008,0.206,0.302,0.269,-0.059,0.203,93.935
473,-0.769,0.681,0.151,0.192,0.143,0.261,0.064,0.202,-0.129,0.266,0.186,0.195,106.36
474,-1.459,0.682,0.405,0.193,0.336,0.252,0.299,0.197,0.345,0.263,0.396,0.192,79.069
475,1.437,0.686,-0.497,0.202,-0.731,0.25,-0.313,0.205,-0.666,0.266,-0.587,0.196,114.283
476,0.996,0.68,-0.268,0.198,-0.24,0.237,-0.307,0.197,-0.596,0.261,-0.275,0.19,48.9
477,1.086,0.688,-0.273,0.196,-0.317,0.249,-0.251,0.2,-0.486,0.26,-0.281,0.195,86.207
478,-0.628,0.682,0.235,0.193,0.274,0.253,0.195,0.199,0.25,0.255,0.201,0.19,112.1
479,-1.157,0.682,0.359,0.192,0.617,0.252,0.296,0.204,0.104,0.252,0.363,0.191,65.608
480,-1.352,0.674,0.404,0.19,0.145,0.247,0.298,0.201,0.124,0.25,0.406,0.192,128.769
481,-1.452,0.673,0.494,0.194,0.426,0.255,0.457,0.198,0.208,0.255,0.456,0.183,117.926
482,0.028,0.718,0.04,0.201,-0.006,0.256,-0.007,0.205,-0.244,0.26,0.008,0.202,99.265
483,-0.836,0.673,0.216,0.188,0.193,0.251,0.203,0.203,0.031,0.262,0.202,0.189,71.665
484,-1.561,0.656,0.419,0.187,0.227,0.233,0.531,0.187,0.455,0.259,0.439,0.18,68.095
485,0.563,0.668,-0.157,0.191,-0.465,0.265,-0.218,0.196,-0.263,0.255,-0.111,0.187,67.353
486,0.406,0.613,-0.043,0.185,-0.221,0.232,-0.04,0.183,0.376,0.243,-0.063,0.174,102.264
487,1.215,0.699,-0.255,0.201,-0.517,0.243,-0.256,0.203,-0.408,0.271,-0.267,0.2,83.957
488,-2.418,0.661,0.543,0.194,0.761,0.238,0.594,0.201,0.681,0.245,0.543,0.183,80.475
489,-2.217,0.703,0.587,0.205,0.873,0.264,0.683,0.205,0.886,0.265,0.591,0.198,68.615
490,-1.616,0.683,0.372,0.193,0.254,0.258,0.303,0.205,0.324,0.262,0.428,0.193,92.324
491,-1.685,0.709,0.714,0.2,0.068,0.252,0.57,0.21,0.351,0.245,0.645,0.196,74.306
492,1.361,0.629,-0.56,0.178,-0.875,0.243,-0.486,0.188,-0.042,0.254,-0.551,0.174,83.835
493,0.107,0.664,0.0,0.189,0.155,0.252,0.155,0.194,-0.037,0.262,-0.055,0.181,57.456
494,0.924,0.691,-0.218,0.194,-0.494,0.258,-0.304,0.202,0.138,0.267,-0.243,0.195,84.699
495,-1.288,0.683,0.449,0.197,0.6,0.249,0.405,0.202,0.248,0.257,0.384,0.189,85.694
496,-1.992,0.652,0.478,0.188,0.293,0.26,0.523,0.191,0.703,0.253,0.491,0.188,111.163
497,1.724,0.683,-0.365,0.195,-0.307,0.252,-0.527,0.2,-0.898,0.272,-0.367,0.193,99.866
498,3.066,0.66,-0.785,0.188,-0.849,0.255,-0.827,0.191,-0.616,0.257,-0.774,0.186,70.12
