sim_num,gMpl,gMpl_std,aplusb_b95,aplusb_b95_std,aplusb_k95,aplusb_k95_std,aplusb_150,aplusb_150_std,aplusb_220,aplusb_220_std,aplusb_b95ext,aplusb_b95ext_std,,chisq
0,-0.23,0.258,0.006,0.105,0.343,0.18,0.059,0.105,-0.123,0.159,0.061,0.102,167.602
1,-0.835,0.253,0.253,0.1,0.238,0.178,0.313,0.107,0.358,0.152,0.261,0.099,95.921
2,-0.006,0.241,-0.001,0.1,0.062,0.168,0.019,0.104,-0.227,0.149,-0.038,0.095,157.556
3,-0.622,0.243,0.193,0.105,0.128,0.17,0.315,0.097,0.139,0.151,0.212,0.095,132.769
4,1.11,0.257,-0.439,0.105,-0.877,0.174,-0.452,0.102,-0.574,0.149,-0.384,0.101,137.474
5,-0.133,0.252,0.094,0.103,-0.139,0.177,0.142,0.109,0.204,0.16,0.11,0.097,117.929
6,0.282,0.273,-0.095,0.114,-0.136,0.178,-0.096,0.109,-0.031,0.152,-0.079,0.105,197.74
7,0.268,0.239,-0.081,0.097,0.182,0.176,-0.183,0.103,0.121,0.141,-0.074,0.095,189.453
8,-0.259,0.257,0.154,0.107,-0.262,0.179,0.026,0.106,0.358,0.155,0.099,0.099,167.444
9,0.244,0.246,-0.173,0.104,-0.302,0.183,-0.172,0.107,-0.148,0.149,-0.168,0.098,132.448
10,0.094,0.256,-0.102,0.108,0.3,0.178,-0.0,0.105,-0.422,0.152,-0.058,0.101,136.349
11,0.367,0.264,-0.158,0.11,0.059,0.186,0.006,0.105,-0.156,0.163,-0.124,0.101,115.354
12,0.137,0.253,-0.234,0.104,-0.109,0.179,-0.206,0.107,-0.049,0.145,-0.176,0.101,205.5
13,0.515,0.25,-0.229,0.104,-0.207,0.174,-0.25,0.107,0.003,0.149,-0.195,0.102,145.862
14,0.239,0.262,-0.157,0.11,0.03,0.179,-0.174,0.111,-0.208,0.15,-0.14,0.101,91.911
15,-0.807,0.25,0.518,0.106,0.368,0.178,0.462,0.11,0.351,0.149,0.423,0.096,215.659
16,-0.451,0.255,0.25,0.106,0.3,0.179,0.293,0.106,0.304,0.153,0.293,0.099,98.498
